@relation 'badges-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.AddExpression-Ea2 - (a5+a6+a7)-Nnum_vowels'

@attribute name {'Aaron Feigelson','Alexander M. Meystel','Alma Whitten','Ameur Foued','Andrew W. Moore','Andrew Y. Ng','Andrey Burago','Anselm Blumer','Antoine Cornuejols','Arlindo Oliveira','Armand Prieditis','Arun Sharma','Attilio Giordana','Aurora Perez','Avrim Blum','Bala Kalyanasundaram','Barak A. Pearlmutter','Bernhard Pfahringer','Bhaskar Dasgupta','Bill Byrne','Bir Bhanu','Bob Evans','Bradley L. Whitehall','Brian D. Davidson','Brian Tester','Bruce A. MacDonald','Carl H. Smith','Carla E. Brodley','Charles X. Ling','Chen K. Tham','Chidanand Apte','Chris Darken','Chris Drummond','Chun-Nan Hsu','Claire Cardie','Clare Bates Congdon','Claude Sammut','Claudio Facchinetti','Craig Knoblock','Craig Nevill-Manning','Cristina Baroglio','Cullen Schaffer','Dan Oblinger','Dan Roth','Dana Angluin','Dana Ron','Daniel Hennessy','Daniel Kortenkamp','Daniel L. Silver','Darko Zupanic','David B. Skalak','David Cohn','David Finton','David Gillman','David Haussler','David Helmbold','David Loewenstern','David Mathias','David Montgomery','David Pierce','David W. Aha','David W. Opitz','Dennis F. Kibler','Diana Gordon','Donna Slonim','Drago Indjic','Dunja Mladenic','Earl S. Harris Jr.','Ed Pednault','Eddy Mayoraz','Efim Kinber','Emanuel Knill','Eric Allender','Eric Baum','Eyal Kushilevitz','Fernando Pereira','Filippo Neri','Foster J. Provost','Frank Stephan','Gary M. Selzer','Gary Weiss','Geoffrey Gordon','George A. Drastal','George Berg','George H. John','Gerald F. DeJong','Glenn Silverstein','Grigoris Karakoulas','Hal Duncan','Haralabos Athanassiou','Harris Drucker','Haym Hirsh','Hiroshi Motoda','Hiroshi Tanaka','Holly Yanco','Huw Roberts','Irina Tchoumatchenko','J. Jeffrey Mahoney','J. R. Quinlan','James S. Royer','Janusz Wnek','Jason Catlett','Javed Aslam','Jean Gabriel Ganascia','Jean-Daniel Zucker','Jeff Jackson','Jeffery Clouse','Jiarong Hong','Jing Peng','Joe Suzuki','Joel Ratsaby','Johanne Morin','Johannes Furnkranz','John Case','John Fischer','John M. Zelle','John R. Rose','John Rachlin','Jonathan Gratch','Jonathan Hodgson','Jong-Hoon Oh','Jorg-Uwe Kietz','Jose L. Balcazar','Joseph O\'Sullivan','Jude Shavlik','Judy A. Franklin','Justin Boyan','Justinian Rosca','Jyrki Kivinen','Kamal M. Ali','Kan Deng','Karsten Verbeurgt','Kate Goelz','Kazushi Ikeda','Ken Lang','Kenji Yamanishi','Kimmen Sjolander','Klaus P. Jantke','Krishnan Pillaipakkamnatt','L. Thorne McCarty','Lance Fortnow','Lance Riley','Lars Asker','Leonard Pitt','Leslie Grate','Leslie Pack Kaelbling','Lindley Darden','Lisa Hellerstein','Long-Ji Lin','Lorenza Saitta','Lorien Y. Pratt','Lyle H. Ungar','Maja Mataric','Malini Bhandaru','Mandayam T. Suraj','Manfred Warmuth','Marcos Salganicoff','Margo Guertin','Mario Marchand','Mark Changizi','Mark Schwabacher','Mark Staley','Mark W. Craven','Marko Grobelnik','Martin Kummer','Martinch Krikis','Mary Soon Lee','Masayuki Inaba','Matevz Kovacic','Matthias Heger','Melinda T. Gervasio','Merrick L. Furst','Michael A. meystel','Michael I. Jordan','Michael J. Donahue','Michael Kearns','Michael Littman','Michael Redmond','Michael W. Barley','Michael de la Maza','Michele Sebag','Minoru Asada','Mona Singh','Moshe Koppel','Moshe Leshno','Myriam Abramson','Nader Bshouty','Naoki Abe','Nathalie Japkowicz','Neela Khan','Neil Berkman','Nicolas Fiechter','Nicolo Cesa-Bianchi','Nikolay Nikolaev','Nina Mishra','Nitin Indurkhya','Oded Maron','Olivier De Vel','Pang-Chieh Chen','Pascal Koiran','Pat Langley','Patricia J. Riddle','Patrick M. Murphy','Paul Fischer','Paul Utgoff','Paul Vitanyi','Paul W. Goldberg','Peter Bartlett','Phil Long','Philip Chan','Prasad Tadepalli','Priscilla Rasmussen','R. Andrew McCallum','R. Bharat Rao','Randolph Jones','Reinhard Blasig','Ricard Gavalda','Rich Maclin','Richard A. Caruana','Richard S. Sutton','Robert C. Holte','Robert P. Daley','Robert S. Roos','Robert Schapire','Robert Sloan','Robert Williamson','Roberto Piola','Ron Kohavi','Ronald L. Rivest','Roni Khardon','Ronitt Rubinfeld','Russell Greiner','Sally Goldman','Sandra Panizza','Sanjay Jain','Satinder Pal Singh','Scott E. Decatur','Sean Slattery','Sebastian Seung','Seth Flanders','Shai Ben-David','Shaul Markovitch','Sholom Weiss','Sonya Snedecor','Sreerama K. Murthy','Sridhar Mahadevan','Stan Matwin','Stefan Kramer','Steffen Lange','Stephen Kwek','Stephen Muggleton','Steve A. Chien','Steven Minton','Steven Salzberg','Steven W. Norton','Stuart Russell','Susan L. Epstein','Takefumi Yamazaki','Tal Grossman','Tapio Elomaa','Tatsuo Unemi','Thomas E. Kammeyer','Thomas Ellman','Thomas G. Dietterich','Thomas G. Spalthoff','Thomas Wengerek','Thomas Zeugmann','Timothy P. Barber','Tom Bylander','Tom Fawcett','Tom Hancock','Tom M. Mitchell','Toshiyasu Matsushima','Usama Fayyad','Vijay Raghavan','Von-Wun Soo','Wai Lam','Wan P. Chiang','Wee Sun Lee','Welton Becket','William A. Greene','William Cohen','William Gasarch','William Sakas','Wolfgang Janko','Wolfgang Maass','Wray Buntine','Xuemei Wang','Yishay Mansour','Yoav Freund','Yolanda Gil','Yoram Singer','Yoshifumi Sakai','Zhixiang Chen'}
@attribute length numeric
@attribute even_odd {0,1}
@attribute first_char_vowel {0,1}
@attribute consonants numeric
@attribute spaces numeric
@attribute dots numeric
@attribute words numeric
@attribute class {-,+}
@attribute num_vowels numeric

@data
'Jean-Daniel Zucker',18,1,0,10,1,0,2,-,7
'Jeff Jackson',12,1,0,8,1,0,2,+,3
'Jeffery Clouse',14,1,0,8,1,0,2,-,5
'Jiarong Hong',12,1,0,7,1,0,2,+,4
'Jing Peng',9,0,0,6,1,0,2,+,2
'Joe Suzuki',10,1,0,4,1,0,2,-,5
'Joel Ratsaby',12,1,0,7,1,0,2,+,4
'Johanne Morin',13,0,0,7,1,0,2,-,5
'Johannes Furnkranz',18,1,0,12,1,0,2,-,5
'John Case',9,0,0,5,1,0,2,+,3
'John Fischer',12,1,0,8,1,0,2,+,3
'John M. Zelle',13,0,0,7,2,1,3,+,3
'John R. Rose',12,1,0,6,2,1,3,+,3
'John Rachlin',12,1,0,8,1,0,2,+,3
'Jonathan Gratch',15,0,0,10,1,0,2,+,4
'Jonathan Hodgson',16,1,0,10,1,0,2,-,5
'Jong-Hoon Oh',12,1,0,7,1,0,2,+,4
'Jorg-Uwe Kietz',14,1,0,8,1,0,2,-,5
'Jose L. Balcazar',16,1,0,8,2,1,3,-,5
'Joseph O\'Sullivan',17,0,0,10,1,0,2,-,6
'Jude Shavlik',12,1,0,7,1,0,2,+,4
'Judy A. Franklin',16,1,0,9,2,1,3,+,4
'Justin Boyan',12,1,0,7,1,0,2,+,4
'Justinian Rosca',15,0,0,8,1,0,2,-,6
'Jyrki Kivinen',13,0,0,8,1,0,2,+,4
'Kamal M. Ali',12,1,0,5,2,1,3,+,4
'Kan Deng',8,1,0,5,1,0,2,+,2
'Karsten Verbeurgt',17,0,0,11,1,0,2,-,5
'Kate Goelz',10,1,0,5,1,0,2,+,4
'Kazushi Ikeda',13,0,0,6,1,0,2,-,6
'Ken Lang',8,1,0,5,1,0,2,+,2
'Kenji Yamanishi',15,0,0,8,1,0,2,-,6
'Kimmen Sjolander',16,1,0,10,1,0,2,-,5
'Klaus P. Jantke',15,0,0,8,2,1,3,+,4
'Krishnan Pillaipakkamnatt',25,0,0,16,1,0,2,-,8
'L. Thorne McCarty',17,0,0,11,2,1,3,+,3
'Lance Fortnow',13,0,0,8,1,0,2,+,4
'Lance Riley',11,0,0,6,1,0,2,+,4
'Lars Asker',10,1,0,6,1,0,2,+,3
'Leonard Pitt',12,1,0,7,1,0,2,+,4
'Leslie Grate',12,1,0,6,1,0,2,-,5
'Leslie Pack Kaelbling',21,0,0,12,2,0,3,-,7
'Lindley Darden',14,1,0,9,1,0,2,+,4
'Lisa Hellerstein',16,1,0,9,1,0,2,-,6
'Long-Ji Lin',11,0,0,7,1,0,2,+,3
'Lorenza Saitta',14,1,0,7,1,0,2,-,6
'Lorien Y. Pratt',15,0,0,8,2,1,3,+,4
'Lyle H. Ungar',13,0,0,7,2,1,3,+,3
'Maja Mataric',12,1,0,6,1,0,2,-,5
'Malini Bhandaru',15,0,0,8,1,0,2,-,6
'Mandayam T. Suraj',17,0,0,9,2,1,3,-,5
'Manfred Warmuth',15,0,0,10,1,0,2,+,4
'Marcos Salganicoff',18,1,0,11,1,0,2,-,6
'Margo Guertin',13,0,0,7,1,0,2,-,5
'Mario Marchand',14,1,0,8,1,0,2,-,5
'Mark Changizi',13,0,0,8,1,0,2,+,4
'Mark Schwabacher',16,1,0,11,1,0,2,+,4
'Mark Staley',11,0,0,7,1,0,2,+,3
'Mark W. Craven',14,1,0,8,2,1,3,+,3
'Marko Grobelnik',15,0,0,9,1,0,2,-,5
'Martin Kummer',13,0,0,8,1,0,2,+,4
'Martinch Krikis',15,0,0,10,1,0,2,+,4
'Mary Soon Lee',13,0,0,6,2,0,3,-,5
'Masayuki Inaba',14,1,0,6,1,0,2,-,7
'Matevz Kovacic',14,1,0,8,1,0,2,-,5
'Matthias Heger',14,1,0,8,1,0,2,-,5
'Melinda T. Gervasio',19,0,0,9,2,1,3,-,7
'Merrick L. Furst',16,1,0,10,2,1,3,+,3
'Michael A. meystel',18,1,0,9,2,1,3,-,6
'Michael I. Jordan',17,0,0,8,2,1,3,-,6
'Michael J. Donahue',18,1,0,8,2,1,3,-,7
'Michael Kearns',14,1,0,8,1,0,2,-,5
'Michael Littman',15,0,0,9,1,0,2,-,5
'Michael Redmond',15,0,0,9,1,0,2,-,5
'Michael W. Barley',17,0,0,9,2,1,3,-,5
'Michael de la Maza',18,1,0,8,3,0,4,-,7
'Michele Sebag',13,0,0,7,1,0,2,-,5
'Minoru Asada',12,1,0,5,1,0,2,-,6
'Mona Singh',10,1,0,6,1,0,2,+,3
'Moshe Koppel',12,1,0,7,1,0,2,+,4
'Moshe Leshno',12,1,0,7,1,0,2,+,4
'Myriam Abramson',15,0,0,9,1,0,2,-,5
'Nader Bshouty',13,0,0,8,1,0,2,+,4
'Naoki Abe',9,0,0,3,1,0,2,-,5
'Nathalie Japkowicz',18,1,0,10,1,0,2,-,7
'Neela Khan',10,1,0,5,1,0,2,+,4
'Neil Berkman',12,1,0,7,1,0,2,+,4
'Nicolas Fiechter',16,1,0,9,1,0,2,-,6
'Nicolo Cesa-Bianchi',19,0,0,10,1,0,2,-,8
'Nikolay Nikolaev',16,1,0,8,1,0,2,-,7
'Nina Mishra',11,0,0,6,1,0,2,+,4
'Nitin Indurkhya',15,0,0,9,1,0,2,-,5
'Oded Maron',10,1,1,5,1,0,2,+,4
'Olivier De Vel',14,1,1,6,2,0,3,-,6
'Pang-Chieh Chen',15,0,0,10,1,0,2,+,4
'Pascal Koiran',13,0,0,7,1,0,2,-,5
'Pat Langley',11,0,0,7,1,0,2,+,3
'Patricia J. Riddle',18,1,0,9,2,1,3,-,6
'Patrick M. Murphy',17,0,0,11,2,1,3,+,3
'Paul Fischer',12,1,0,7,1,0,2,+,4
'Paul Utgoff',11,0,0,6,1,0,2,+,4
'Paul Vitanyi',12,1,0,6,1,0,2,-,5
'Paul W. Goldberg',16,1,0,9,2,1,3,+,4
'Peter Bartlett',14,1,0,9,1,0,2,+,4
'Phil Long',9,0,0,6,1,0,2,+,2
'Philip Chan',11,0,0,7,1,0,2,+,3
'Prasad Tadepalli',16,1,0,9,1,0,2,-,6
'Priscilla Rasmussen',19,0,0,12,1,0,2,-,6
'R. Andrew McCallum',18,1,0,11,2,1,3,+,4
'R. Bharat Rao',13,0,0,6,2,1,3,+,4
'Randolph Jones',14,1,0,9,1,0,2,+,4
'Reinhard Blasig',15,0,0,9,1,0,2,-,5
'Ricard Gavalda',14,1,0,8,1,0,2,-,5
'Rich Maclin',11,0,0,7,1,0,2,+,3
'Richard A. Caruana',18,1,0,8,2,1,3,-,7
'Richard S. Sutton',17,0,0,10,2,1,3,+,4
'Robert C. Holte',15,0,0,8,2,1,3,+,4
'Robert P. Daley',15,0,0,8,2,1,3,+,4
'Robert S. Roos',14,1,0,7,2,1,3,+,4
'Robert Schapire',15,0,0,9,1,0,2,-,5
'Robert Sloan',12,1,0,7,1,0,2,+,4
'Robert Williamson',17,0,0,10,1,0,2,-,6
'Roberto Piola',13,0,0,6,1,0,2,-,6
'Ron Kohavi',10,1,0,5,1,0,2,+,4
'Ronald L. Rivest',16,1,0,9,2,1,3,+,4
'Roni Khardon',12,1,0,7,1,0,2,+,4
'Ronitt Rubinfeld',16,1,0,10,1,0,2,-,5
'Russell Greiner',15,0,0,9,1,0,2,-,5
'Sally Goldman',13,0,0,9,1,0,2,+,3
'Sandra Panizza',14,1,0,8,1,0,2,-,5
'Sanjay Jain',11,0,0,6,1,0,2,+,4
'Satinder Pal Singh',18,1,0,11,2,0,3,-,5
'Scott E. Decatur',16,1,0,8,2,1,3,-,5
'Sean Slattery',13,0,0,8,1,0,2,+,4
'Sebastian Seung',15,0,0,8,1,0,2,-,6
'Seth Flanders',13,0,0,9,1,0,2,+,3
'Shai Ben-David',14,1,0,8,1,0,2,-,5
'Shaul Markovitch',16,1,0,10,1,0,2,-,5
'Sholom Weiss',12,1,0,7,1,0,2,+,4
'Sonya Snedecor',14,1,0,8,1,0,2,-,5
'Sreerama K. Murthy',18,1,0,10,2,1,3,-,5
'Sridhar Mahadevan',17,0,0,10,1,0,2,-,6
'Stan Matwin',11,0,0,7,1,0,2,+,3
'Stefan Kramer',13,0,0,8,1,0,2,+,4
'Steffen Lange',13,0,0,8,1,0,2,+,4
'Stephen Kwek',12,1,0,8,1,0,2,+,3
'Stephen Muggleton',17,0,0,11,1,0,2,-,5
'Steve A. Chien',14,1,0,6,2,1,3,-,5
'Steven Minton',13,0,0,8,1,0,2,+,4
'Steven Salzberg',15,0,0,10,1,0,2,+,4
'Steven W. Norton',16,1,0,9,2,1,3,+,4
'Stuart Russell',14,1,0,9,1,0,2,+,4
'Susan L. Epstein',16,1,0,8,2,1,3,-,5
'Takefumi Yamazaki',17,0,0,8,1,0,2,-,8
'Tal Grossman',12,1,0,8,1,0,2,+,3
'Tapio Elomaa',12,1,0,4,1,0,2,-,7
'Tatsuo Unemi',12,1,0,5,1,0,2,-,6
'Thomas E. Kammeyer',18,1,0,9,2,1,3,-,6
'Thomas Ellman',13,0,0,8,1,0,2,+,4
'Thomas G. Dietterich',20,1,0,11,2,1,3,-,6
'Thomas G. Spalthoff',19,0,0,12,2,1,3,+,4
'Thomas Wengerek',15,0,0,9,1,0,2,-,5
'Thomas Zeugmann',15,0,0,9,1,0,2,-,5
'Timothy P. Barber',17,0,0,10,2,1,3,+,4
'Tom Bylander',12,1,0,8,1,0,2,+,3
'Tom Fawcett',11,0,0,7,1,0,2,+,3
'Tom Hancock',11,0,0,7,1,0,2,+,3
'Tom M. Mitchell',15,0,0,9,2,1,3,+,3
'Toshiyasu Matsushima',20,1,0,11,1,0,2,-,8
'Usama Fayyad',12,1,1,6,1,0,2,-,5
'Vijay Raghavan',14,1,0,8,1,0,2,-,5
'Von-Wun Soo',11,0,0,6,1,0,2,+,4
'Wai Lam',7,0,0,3,1,0,2,+,3
'Wan P. Chiang',13,0,0,7,2,1,3,+,3
'Wee Sun Lee',11,0,0,4,2,0,3,-,5
'Welton Becket',13,0,0,8,1,0,2,+,4
'William A. Greene',17,0,0,7,2,1,3,-,7
'William Cohen',13,0,0,7,1,0,2,-,5
'William Gasarch',15,0,0,9,1,0,2,-,5
'William Sakas',13,0,0,7,1,0,2,-,5
'Wolfgang Janko',14,1,0,9,1,0,2,+,4
'Wolfgang Maass',14,1,0,9,1,0,2,+,4
